chart_id,section,title,chart_type,source_artifact,x_field,y_field,support_field,claim_class,render_condition,status
D1,data,Fraud class imbalance,bar,assets/data/part2_summary.json,label,value,,OBSERVED,status == AVAILABLE,AVAILABLE
D2,data,Transactions by chronological split,bar,reports/split_summary.csv,label,transactions,fraud_transactions,OBSERVED,status == AVAILABLE,AVAILABLE
D3,data,Fraud rate by chronological split,bar,reports/split_summary.csv,label,fraud_rate,,OBSERVED,status == AVAILABLE,AVAILABLE
P1,portfolio,Monthly fraud trend,line,reports/part3/monthly_fraud_trend.csv,month,fraud_rate,transactions,OBSERVED,status == AVAILABLE,AVAILABLE
P2,portfolio,Channel fraud risk,bar,reports/part3/channel_risk.csv,label,fraud_rate,transactions,OBSERVED,status == AVAILABLE,AVAILABLE
P3,portfolio,Amount-band fraud risk,bar,reports/part3/amount_band_risk.csv,label,fraud_rate,transactions,OBSERVED,status == AVAILABLE,AVAILABLE
P4,portfolio,Support-qualified MCC risk,bar,reports/part3/mcc_risk.csv,label,fraud_rate,transactions,OBSERVED,status == AVAILABLE,AVAILABLE
P5,portfolio,Entity concentration (top 1% fraud share),bar,reports/part3/top_entity_concentration.csv,label,fraud_capture_share,,DERIVED,status == AVAILABLE,AVAILABLE
B1,behavior,Primary PIT feature family count,bar,docs/PART4_FEATURE_REGISTRY.csv,label,feature_count,,DERIVED,status == AVAILABLE,AVAILABLE
B2,behavior,Behavioral signal profile,evidence-state,reports/part4/development_numeric_feature_signal.csv,,,,DERIVED,status == AVAILABLE,NOT_AVAILABLE
G1,graph,Graph network scale,bar,assets/data/part6_summary.json,label,value,,DERIVED,status == AVAILABLE,AVAILABLE
G2,graph,Graph model comparison (Test warm PR-AUC),bar,assets/data/part6_summary.json,label,pr_auc,,DERIVED,status == AVAILABLE,AVAILABLE
M1,model,Validation selection leaderboard,bar,assets/data/part5_model_selection.json,label,pr_auc,,DERIVED,status == AVAILABLE,AVAILABLE
M2,model,Precision-recall curve,evidence-state,assets/data/part5_final_summary.json,,,,DERIVED,status == AVAILABLE,NOT_AVAILABLE
M3,model,OOT calibration summary,bar,assets/data/part5_calibration.json,label,value,,DERIVED,status == AVAILABLE,AVAILABLE
M4,model,OOT Top-K fraud capture,line,assets/data/part5_topk.json,label,capture,,DERIVED,status == AVAILABLE,AVAILABLE
DE1,decision,Final OOT decision mix,bar,assets/data/part7_summary.json,label,rate,,SIMULATED,status == AVAILABLE,AVAILABLE
DE2,decision,Review capacity vs realized review rate,bar,assets/data/part7_summary.json,label,rate,,SIMULATED,status == AVAILABLE,AVAILABLE
DE3,decision,Final OOT fraud protection vs intervention,bar,assets/data/part7_summary.json,label,rate,,SIMULATED,status == AVAILABLE,AVAILABLE
DE4,decision,Simulated policy economics vs ALLOW_ALL,bar,assets/data/part7_summary.json,label,cost,,SIMULATED,status == AVAILABLE,AVAILABLE
MON1,monitoring,Final monitoring alert evaluability,bar,assets/data/part8_alert_summary.json,label,count,,GOVERNANCE,status == AVAILABLE,AVAILABLE
MON2,monitoring,Action and review drift timeline,evidence-state,assets/data/part8_summary.json,,,,GOVERNANCE,status == AVAILABLE,NOT_AVAILABLE
MON3,monitoring,Matured final OOT model performance,bar,assets/data/part8_monitoring_timeline.json,label,value,support,GOVERNANCE,status == AVAILABLE,AVAILABLE
